target,merge_step,piece,readable,rank,byte_length,leverage,leverage_ci_low,leverage_ci_high,is_gap
icro,6,icro,icro,2094,4,1.0787797629833222,0.9642995389144283,1.1932599870522163,False
super,5,er,er,7,2,0.6986088681221009,0.5874830148906077,0.809734721353594,False
super,6,▁su,su,152,3,0.48195635437965395,0.3550128124645462,0.6088998962947617,False
super,7,per,per,216,3,0.5900509810447693,0.4917146295076035,0.6883873325819351,False
super,8,▁super,super,1722,6,1.0773163866996764,0.9919645660303866,1.1626682073689663,False
opportun,7,or,or,15,2,0.47793734312057495,0.38528237566689727,0.5705923105742526,False
opportun,8,pp,pp,122,2,0.630153945684433,0.5346151104305191,0.7256927809383468,False
opportun,9,ort,ort,134,3,0.5988652992248535,0.511887482583917,0.68584311586579,False
opportun,10,un,un,146,2,0.5570597863197326,0.4443738224742526,0.6697457501652126,False
opportun,11,pport,pport,506,5,0.5318183028697967,0.43761557268475826,0.6260210330548351,False
opportun,12,pportun,pportun,1377,7,0.9701318860054016,0.8888740147727534,1.0513897572380497,False
opportun,13,▁opportun,opportun,1459,9,1.0752539908885956,0.996924248974853,1.1535837328023382,False
sav,3,▁sa,sa,286,3,0.6736651730537414,0.5513830901822815,0.7959472559252013,False
sav,4,▁sav,sav,5216,4,1.0706383475661279,0.9744716465260357,1.16680504860622,False
makes,5,ke,ke,103,2,0.4707334995269775,0.3747073951475334,0.5667596039064217,False
makes,6,ake,ake,241,3,0.7023711907863617,0.6073692723596327,0.7973731092130907,False
makes,7,▁make,make,442,5,0.7840956020355224,0.6940946939591489,0.8740965101118959,False
makes,8,▁makes,makes,1431,6,1.0701419746875762,0.9847047676313924,1.1555791817437602,False
estab,5,st,st,52,2,0.44993789911270143,0.36001505428913,0.5398607439362728,False
estab,6,ab,ab,131,2,0.7751125764846801,0.6640996720297205,0.8861254809396397,False
estab,7,▁est,est,1202,4,0.47908724308013917,0.3834693520621416,0.5747051340981367,False
estab,8,▁estab,estab,2366,6,1.068704218864441,0.9553913693138139,1.182017068415068,False
colle,4,le,le,35,2,0.6050898396968841,0.509820283301559,0.7003593960922092,False
colle,5,ol,ol,86,2,0.6847121894359589,0.5712907270948803,0.7981336517770375,False
colle,6,▁col,col,573,4,0.6965267199277878,0.5750663857332572,0.8179870541223184,False
colle,7,▁colle,colle,1467,6,1.0643465274572372,0.9523163683374443,1.1763766865770302,False
continu,6,in,in,2,2,0.5681668972969055,0.4773080364431823,0.6590257581506287,False
continu,7,on,on,5,2,0.5875390863418579,0.511186277313582,0.6638918953701338,False
continu,8,▁con,con,112,4,0.6402592074871063,0.5122187411166237,0.7682996738575889,False
continu,9,▁cont,cont,279,5,0.6553474998474121,0.5415992557095991,0.7690957439852252,False
continu,10,▁contin,contin,975,7,1.4262581193447113,1.3241235736954082,1.5283926649940143,False
continu,11,▁continu,continu,3781,8,1.062963216304779,0.9770504570541596,1.1488759755553986,False
between,5,en,en,19,2,0.44645029067993164,0.34134760010202425,0.551552981257839,False
between,6,et,et,56,2,0.48397916197776797,0.393689263428353,0.574269060527183,False
